Legacy_OrganizationName,Legacy_OrganizationID,Legacy_ProgramName,Legacy_ProgramID,Clarity_AgencyID,Clarity_AgencyName,Clarity_ProgramID,Clarity_ProgramName
Portage Metropolitan Housing Authority,102,zzPortage - Portage MHA - Portage Shelter Plus Care II - PSH,1002,32,Portage Metropolitan Housing Authority,287,zzPortage - Portage MHA - Portage Shelter Plus Care II - PSH
Portage Metropolitan Housing Authority,102,Portage - Portage MHA - Portage Shelter Plus Care - PSH,114,32,Portage Metropolitan Housing Authority,26,Portage - Portage MHA - Portage Shelter Plus Care - PSH
Ashland - ACCESS,1036,Ashland - ACCESS Emergency Shelter - ES,566,103,Ashland - ACCESS,127,Ashland - ACCESS Emergency Shelter - ES
Seeds of Hope,1059,Ross - Seeds of Hope - Jackie's House - ES,1060,104,Seeds of Hope,311,Ross - Seeds of Hope - Jackie's House - ES
Seeds of Hope,1059,Ross - Seeds of Hope - ES Overflow,2277,104,Seeds of Hope,893,Ross - Seeds of Hope - ES Overflow
Churches,1062,Logan - Churches - Logan County Homeless Shelter - ES,1025,105,Churches,305,Logan - Churches - Logan County Homeless Shelter - ES
Logan Mental Health Drug and Alcohol Services Board,1064,Logan - Mental Health Drug and Alcohol Board - Mad River/Park - PSH,445,106,Logan Mental Health Drug and Alcohol Services Board,107,Logan - Mental Health Drug and Alcohol Board - Mad River/Park - PSH
Logan Mental Health Drug and Alcohol Services Board,1064,Logan - Mental Health Drug and Alcohol Services Board - Logan Champaign Housing - PSH,462,106,Logan Mental Health Drug and Alcohol Services Board,111,Logan - Mental Health Drug and Alcohol Services Board - Logan Champaign Housing - PSH
Logan Mental Health Drug and Alcohol Services Board,1064,Logan - Mental Health Drug and Alcohol Board - Family Housing - PSH,722,106,Logan Mental Health Drug and Alcohol Services Board,143,Logan - Mental Health Drug and Alcohol Board - Family Housing - PSH
"City of Springfield, Ohio",1068,Clark - City of Springfield - SPC1 - PSH,1353,107,"City of Springfield, Ohio",422,Clark - City of Springfield - SPC1 - PSH
